gene_id,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
Cers6,1841,2078,1813,1191,1350,1310,1380,2212,2037,1801,4172,1949
Gm14023,13,11,7,11,5,2,0,10,0,10,12,19
Bpifb3,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb2,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb1,0,12,29,0,5,146,15,49,85,3,16,29
Olfr1290,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1297,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb6,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1295,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb4,2,0,0,0,0,0,0,0,0,0,0,0
Olfr1299,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1298,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1051,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1053,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1052,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1055,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1054,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1057,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1056,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1058,0,0,0,0,0,0,0,0,0,0,0,0
Mir2861,4,6,6,10,3,3,13,4,5,5,4,13
R3hdml,0,0,0,0,0,0,0,0,0,0,0,0
B2m,23022,42048,36678,24076,22192,17913,22391,91552,100675,74955,155892,35313
Gm14440,1067,1483,949,765,910,813,714,716,702,641,1381,1038
Them7,5,0,2,4,0,3,4,0,0,0,3,0
Gm14151,0,0,0,0,0,0,0,0,0,0,0,0
Samd10,12,21,21,19,21,19,11,11,11,15,22,28
Ubac1,614,640,561,484,584,518,532,569,769,454,994,722
Cstf1,642,681,589,445,465,408,501,590,711,482,1007,629
Cstf3,417,550,415,340,398,341,422,554,645,398,848,440
Gad1os,0,0,0,0,0,0,0,0,0,0,4,0
Ocstamp,0,0,0,0,0,0,0,0,2,0,3,0
Mettl8,128,208,160,138,142,107,141,175,214,125,251,203
Cebpb,12073,10143,7235,8912,8468,5728,11047,7852,7754,4712,14551,10978
Acvr1,1801,1467,1703,1259,1770,1419,1883,1406,1370,1199,2372,1746
Vps18,975,986,828,713,815,660,742,791,945,560,1322,925
Fubp3,1302,1421,1200,972,1011,1002,1133,1314,1458,1127,2270,1266
Mettl5,135,197,127,115,156,133,112,166,136,97,219,152
Slc25a12,1112,1439,1196,926,949,928,1061,1018,1166,778,1520,1381
Rtel1,861,987,789,749,751,574,653,790,997,706,1452,804
Nmt2,1145,1139,1048,977,1095,1045,1164,941,1067,839,1767,1159
Aven,275,306,249,195,237,225,248,326,346,192,466,322
Bpifb5,0,0,0,0,0,0,0,0,0,2,0,0
Olfr1294,0,0,0,0,0,0,0,0,0,0,0,0
March7,1090,1353,1101,868,763,937,943,1027,1057,831,1597,1271
Sstr4,2,7,11,11,6,3,6,7,2,1,4,5
Rbck1,2521,2715,2372,2028,2092,1889,2015,2239,2494,1564,3593,2748
Rabgap1,1801,2080,1976,1346,1527,1458,1697,1700,1875,1416,2854,2039
Npdc1,2675,3478,3158,2841,2437,2191,2460,2215,2585,1533,3145,3458
Spo11,0,0,0,0,0,0,0,0,0,0,0,0
Zswim1,265,305,275,199,237,193,214,238,251,159,378,273
Zswim2,0,0,0,0,0,0,0,0,0,0,0,0
Zswim3,183,174,180,145,130,99,128,143,157,83,215,173
Hoxd3os1,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r16b,72,67,68,52,32,48,18,72,40,26,119,105
Ndrg3,1523,1875,1747,1271,1350,1223,1379,1612,1932,1048,2394,1901
Ttc30a2,182,202,196,128,142,128,147,140,160,93,153,193
Ttc30a1,189,223,216,163,165,145,173,203,234,123,229,243
Madd,395,386,273,319,315,290,306,391,389,257,693,355
H13,4179,4313,4121,3205,3560,2851,3631,4444,4655,3106,7773,4470
Rpap1,932,1014,784,693,801,696,661,919,1097,698,1552,876
Klhl41,0,10,2,3,3,3,3,7,10,0,7,10
4933406J08Rik,0,0,0,0,0,0,0,0,0,0,0,0
Lama5,2264,2388,1845,1755,1234,1395,1550,3734,5041,1925,7193,1873
Tshz2,2852,3771,3352,2693,2738,2488,2987,2324,2547,2099,4356,3759
Mir133a-2,0,0,0,0,0,0,0,0,0,0,0,0
Foxs1,140,160,204,141,156,146,177,198,258,71,266,175
Sall4,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap11a,50,78,47,37,67,49,58,208,379,252,340,48
Stx16,819,1726,1277,1303,1494,1121,1389,1355,1425,1072,2318,1532
4930443O20Rik,4,8,7,12,19,6,14,5,4,12,25,4
Slc17a9,31,58,23,32,43,19,29,81,95,81,166,24
Srms,0,5,0,0,0,0,0,0,0,4,3,0
P2rx3,2,0,3,7,8,3,4,6,8,3,14,0
Olfr1197,0,0,0,0,0,0,0,0,0,0,0,0
Spint3,0,0,0,0,0,0,0,0,0,0,0,0
Spint1,0,4,6,0,0,3,8,2,6,0,10,5
Spint4,0,0,0,0,0,0,0,0,0,0,0,0
8030442B05Rik,0,5,3,0,0,0,0,3,0,0,0,5
Psmd5,917,1134,893,704,778,734,868,1064,1225,737,1545,988
Ralgps1,118,169,136,129,156,103,144,84,103,46,160,173
Mir147,0,1,1,2,0,1,1,1,1,1,1,1
Agpat2,654,696,610,534,535,509,590,686,725,540,1360,714
Stam,1102,1283,1122,922,1064,1004,1022,1077,1067,723,1561,1219
Lcn5,0,0,0,0,0,0,0,0,0,0,0,0
Lcn4,0,0,0,0,0,0,0,0,0,0,0,0
Lcn6,0,0,0,0,0,0,0,0,0,0,0,0
Lcn3,0,0,0,0,0,0,0,0,0,0,0,0
Itpripl1,152,172,189,136,158,120,179,164,245,129,299,147
Prpf18,1228,1473,1202,952,1182,1037,1063,1061,1136,819,1713,1418
Lcn9,0,0,0,0,0,0,0,0,0,0,0,0
Lcn8,0,0,0,0,0,0,0,0,0,0,0,0
Tmem203,307,362,293,209,233,223,216,249,274,219,374,299
Gm16796,0,0,0,0,4,0,6,4,0,3,5,0
Mir3089,0,0,0,1,0,0,0,0,0,0,1,1
Nron,0,0,0,0,7,2,4,2,0,0,0,0
Zfp442,144,171,111,87,91,73,111,124,157,90,157,128
BC039771,0,41,33,20,2,23,42,33,3,0,56,0
Slc27a4,1460,1351,1461,1134,1404,1156,1400,1460,1656,880,2358,1535
Slc27a2,0,0,0,0,0,0,0,0,0,0,0,0
Uck1,2087,2254,1804,1627,1665,1332,1581,1350,1368,795,1889,2191
Abo,0,0,0,0,0,0,0,0,0,0,0,0
Fign,282,334,249,219,220,198,251,280,326,231,529,322
Dfnb59,0,0,0,0,0,0,0,0,0,0,2,0
AV039307,14,25,22,19,28,14,11,16,11,13,38,9
Fam78a,2,2,0,0,2,6,4,7,7,0,11,4
