transcript_id,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
NM_026615,726,902,804,554,712,558,577,860,919,584,1309,825
NM_026613,269,360,297,231,231,234,237,334,523,284,466,311
NM_016866,347,514,431,342,385,342,409,406,518,406,657,451
NM_001033123,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291201,52,0,0,0,0,37,206,52,0,29,38,39
NM_001080820,1100,1011,724,372,637,418,799,623,757,341,815,859
NM_001291203,57,186,154,71,102,73,325,335,216,103,348,324
NM_001291202,51,204,131,91,135,77,366,78,113,86,150,125
NM_001291205,3,2,1,1,2,0,1,0,1,1,5,2
NM_001291204,55,40,53,41,75,0,308,35,40,43,69,56
NM_001291207,67,57,54,0,0,0,0,52,68,0,1,297
NM_024185,591,700,614,485,539,465,559,699,722,466,1153,571
NM_001291209,0,0,0,0,29,0,0,32,0,22,100,0
NM_021426,304,307,209,178,361,317,343,160,242,166,338,298
NM_025516,4291,5174,4799,3598,4195,3580,4209,4398,4943,3126,6449,5128
NM_029723,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289709,74,145,12,93,61,109,111,81,63,11,66,11
NM_016902,220,317,203,249,129,143,255,278,120,186,409,262
NR_040635,0,0,0,0,0,0,0,0,0,0,0,0
NM_024181,4902,6372,5449,3702,4531,4098,4371,4901,5877,3818,6970,5821
NM_026271,1272,1291,1372,1143,1174,1331,1147,1316,1174,1026,2030,1693
NR_035432,1,1,1,1,1,1,1,1,1,1,1,1
NR_035480,0,0,0,0,0,1,1,0,0,1,0,0
NR_106083,0,0,0,0,0,0,0,0,0,0,1,0
NR_106081,0,0,0,0,0,0,0,0,0,0,0,0
NR_106080,0,0,0,0,0,0,0,0,0,0,0,0
NM_026104,0,0,0,0,0,0,0,0,0,0,0,0
NM_198617,308,455,399,268,313,256,314,271,295,211,381,431
NM_001289678,345,379,524,420,573,404,304,332,429,7,342,365
NR_036629,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291200,2103,2460,2261,1677,1817,1642,374,1550,1803,1107,2405,2274
NM_001289677,0,0,0,0,0,0,0,0,0,0,0,0
NM_001111292,253,196,185,144,217,130,258,908,1058,219,310,109
NM_001111291,211,156,147,113,156,112,207,718,850,154,189,72
NM_028521,354,499,423,311,372,319,346,392,409,261,565,432
NM_001276489,13432,13783,12255,8357,10940,9168,12118,12091,11782,11995,22007,12596
NM_025922,592,804,594,497,588,461,563,852,1065,594,1317,725
NM_177610,0,0,0,0,0,0,0,0,0,0,0,0
NM_001164791,3436,3620,2989,2358,3027,2286,2670,2149,2290,1633,3440,3304
NR_102348,0,0,0,0,0,0,0,0,0,0,0,0
NR_102349,0,0,0,0,0,0,0,0,0,0,0,0
NM_153781,2244,2490,2383,2073,2391,2121,2456,2002,2471,1452,2911,2731
NM_001083809,59,205,189,177,39,71,116,45,77,170,111,68
NM_001291206,133,8,11,175,13,219,125,25,266,2,335,8
NM_008980,0,0,0,0,0,0,0,0,0,0,3,0
NM_020515,0,0,0,0,0,0,0,0,0,0,0,0
NM_172860,992,930,873,947,853,772,963,721,618,635,1296,1007
NR_105752,0,0,0,0,1,0,0,0,0,0,0,0
NR_105753,0,0,0,0,0,0,0,0,0,0,0,0
NM_021022,0,0,0,0,0,0,0,5,0,0,8,0
NR_105751,0,0,0,0,0,0,0,0,0,0,0,0
NR_105757,0,0,0,0,0,0,0,0,0,0,0,0
NR_105754,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291208,0,0,0,0,0,0,0,0,0,0,0,0
NM_020283,110,258,170,124,135,127,122,195,241,135,208,225
NR_105758,0,0,0,0,0,0,0,0,0,0,0,0
NR_106155,0,0,0,0,0,0,0,0,0,0,0,0
NM_030055,0,0,0,0,0,0,0,0,0,0,0,0
NR_106156,0,0,0,0,0,0,0,0,0,0,1,0
NM_008019,5391,6189,5124,3768,4975,3906,5090,5808,6931,4355,8671,5750
NM_001289453,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289455,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289454,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289456,0,0,0,0,0,0,0,0,0,0,0,0
NM_138655,0,0,0,0,0,0,0,0,0,0,0,0
NM_028984,0,189,258,0,304,0,0,310,0,196,189,270
NM_028986,837,1069,869,682,779,695,719,761,786,597,1213,980
NM_138651,6024,2588,5771,4390,4830,4925,5303,4357,3932,3243,7693,7217
NM_001284376,0,0,0,0,0,0,0,0,0,0,0,0
NM_007699,0,9,9,10,3,5,8,7,4,2,8,7
NM_001284374,0,0,0,0,0,0,0,0,0,0,0,0
NM_001284373,401,327,456,260,177,157,0,261,266,318,613,245
NM_001284372,317,197,0,81,173,152,0,211,228,261,425,135
NM_001284371,60,55,82,75,38,53,115,58,94,57,113,110
NM_001284370,8,9,0,31,11,39,53,57,64,11,71,49
NM_001081171,2264,2388,1845,1755,1234,1395,1550,3734,5041,1925,7193,1873
