ms1_peak_id,Resistantcells0003.mzXML,Resistantcells0010.mzXML,Resistantcells0017.mzXML,Resistantcells0024.mzXML,Wtcells0001.mzXML,Wtcells0008.mzXML,Wtcells0015.mzXML,Wtcells0022.mzXML
Group,Resistantcells,Resistantcells,Resistantcells,Resistantcells,WTcells,WTcells,WTcells,WTcells
1,25667942,50111568,35609860,57663804,65216184,129615768,110283696,141240144
2,72872.0625,133463.4688,97908.97656,100625.9609,72042.65625,182933.7813,123504.3281,163463.4844
3,10123.81152,26728.11719,19381.81641,33548.94922,28316.27344,106468.6406,81627.50781,137352.4063
4,,,3604.651123,,34318.82813,53740.89063,83648,69474.1875
5,5752.321289,22484.67383,17870.64258,25920.32031,29137.10938,57671.01563,69084.42188,66180.19531
6,13965.6748,23981.94922,13068.46289,25981.83594,27238.69336,55644.19141,27431.81055,58609.96094
7,13038.79102,16561.67773,12740.29883,14327.92676,15557.36133,26432.74023,26984.89063,24816.05664
8,4255.776855,6877.391602,4567.89502,7164.897949,8728.013672,20374.49414,14697.59961,22204.26758
9,3390.238525,6251.481934,4189.201172,7694.28125,6772.712402,17230.18945,12565.98926,20853.28711
10,4339.287598,6519.608398,4904.103516,8947.051758,7470.262695,18366.55664,14822.53613,18643.04297
11,3258.378662,5289.772461,4206.86084,5820.045898,9663.6875,14865.49707,11232.58496,16033.54492
12,50209056,58016920,44215156,56998800,58053920,54516696,45095556,60913076
13,202342.4063,238399.5781,170647.5313,233627.5625,236552.8125,192327.2656,145094.25,249090.0313
14,46166.24219,49509.26953,36662.64453,45996.51953,44431.12109,47025.74609,36173.10938,49734.57031
15,25273.6543,27718.08398,19124.47461,30914.80664,25368.50586,21256.0957,18970.43945,30738.05078
16,20553.51367,26162.6875,17473.19531,24273.62305,20205.85352,26513.9375,19684.33203,27861.31445
17,6212220,15457936,9550609,14476586,14226728,48921668,34197048,53443280
18,141293.8438,482736.6563,258983.3438,400327.5,434955.625,2369983.5,1466778.25,2607259
19,61241.75391,174753,117421.1641,136385.2656,179541.6875,356658.625,357680.5,393162.3125
20,17336.43164,29084.57422,26815.56445,25108.92383,33201.27344,78975.71875,79904.39844,87174.49219
21,4051.955811,18240.25195,10827.19629,18742.1543,18762.85938,69611.07031,60304.82031,85537.125
22,15014.39453,25429.68164,24027.74219,18346.6582,29323.10547,43563.50391,44296.22656,42150.30469
23,9008.209961,13886.5957,12932.35352,16319.93652,20116.76367,41890.39063,37117.76953,43678.71484
24,9679.045898,16830.27344,14745.60156,16925.88477,15705.53125,25473.0293,20193.29883,27926.75195
25,5140.503906,7573.771484,9451.199219,7692.321777,11402.73145,23205.69141,21479.13672,21939.00195
26,11146.46191,15069.51367,13709.85352,14378.31055,14421.06348,18252.38086,17406.23438,16268.46484
27,3683.645752,5501.479004,4274.657227,6729.554199,9810.833008,18137.66602,13030.50195,14897.87305
28,30867706,38650400,29888760,37368336,25907780,37642848,28896284,32286814
29,7769112.5,11108987,7315525.5,10437868,5835455.5,10385077,6801885,8307641.5
30,1381109.5,2219729.25,1341565,2070446.5,978973.4375,1965388.125,1235102.25,1591331.125
31,661302.4375,1089401.25,588050.8125,955305.125,461981.625,989421.625,512974.6563,661827.8125
32,586513,790614.75,500047.6875,721167.875,401302.9688,738265.875,470133.5,537819.875
33,84794.32031,236038.6094,151685.5938,311890.4688,123037.2422,278468.5,171352.1563,267065
34,189372.0938,281848.6875,177383.3594,265007.375,121949.5703,235922.7031,162495.8906,193039.0625
35,171267.6563,207831.6094,161454.8438,194351.0313,140832,188935,149711.0469,179755.0938
36,104538.6484,170469.9531,92129,149123.1094,78042.97656,137890.7031,89921.03906,103842.3281
37,102133.0547,134602.0938,96609.67969,130008.1875,80868.24219,126821.2422,113859.9688,111186.7422
