Peak id	Log FC	P-value	Adjusted P-value	Log Odds
1	-1.41	0.0027	0.0322	-2.0903
2	-0.37	0.277	0.5538	-6.7321
3	-1.9	0.0093	0.0664	-3.4202
4	-3.99	0.0007	0.0146	0.2845
5	-1.75	0.009	0.0651	-3.3827
6	-1.11	0.0157	0.0976	-3.962
7	-0.7	0.0076	0.0587	-3.2002
8	-1.48	0.002	0.0273	-1.7936
9	-1.37	0.009	0.0652	-3.3864
10	-1.23	0.0079	0.0598	-3.2387
11	-1.48	0.0002	0.0069	0.4713
12	-0.06	0.6713	0.8325	-7.3314
13	0.06	0.7834	0.8908	-7.394
14	0.01	0.951	0.9774	-7.437
15	0.1	0.635	0.8122	-7.3043
16	-0.09	0.6222	0.805	-7.2939
17	-1.65	0.0086	0.0629	-3.3298
18	-2.28	0.007	0.0555	-3.1142
19	-1.43	0.0052	0.0461	-2.7954
20	-1.44	0.0026	0.0317	-2.0486
21	-2.2	0.0084	0.062	-3.3054
22	-0.96	0.0021	0.0278	-1.8479
23	-1.42	0.0012	0.021	-1.2353
24	-0.62	0.0363	0.1705	-4.8253
25	-1.37	0.0012	0.021	-1.2412
26	-0.29	0.0561	0.2209	-5.2606
27	-1.47	0.0004	0.0093	0.0493
28	0.14	0.3896	0.6416	-6.9961
29	0.24	0.3142	0.5848	-6.833
30	0.29	0.3023	0.5765	-6.8026
31	0.35	0.2731	0.5498	-6.7207
32	0.29	0.2303	0.5099	-6.5785
33	-0.18	0.6916	0.8455	-7.345
34	0.37	0.1678	0.4301	-6.3015
35	0.16	0.2802	0.5573	-6.7414
36	0.32	0.2375	0.5161	-6.6045
37	0.1	0.5817	0.7786	-7.2575
38	0.26	0.1321	0.3772	-6.0837
39	0.25	0.247	0.5262	-6.6375
40	0.44	0.0972	0.3076	-5.7954
41	-0.1	0.8008	0.8995	-7.4011
42	0.24	0.4246	0.6706	-7.0575
43	0.23	0.1469	0.4023	-6.1816
44	0.18	0.2307	0.5101	-6.5799
45	0.14	0.203	0.4773	-6.4697
46	0.39	0.2491	0.5268	-6.6447
47	-0.11	0.6589	0.8264	-7.3226
48	-0.07	0.8201	0.9086	-7.4083
49	0.24	0.3314	0.6014	-6.8745
50	0.16	0.528	0.7444	-7.2008
51	0.31	0.2522	0.5278	-6.655
52	0.22	0.2973	0.5719	-6.7891
53	0.19	0.1541	0.4116	-6.2248
54	0.39	0.1352	0.3825	-6.1049
55	0.27	0.3266	0.5981	-6.8634
56	0.24	0.2678	0.5432	-6.7044
57	0.12	0.4394	0.6822	-7.0813
58	0.9	0.0303	0.1532	-4.6403
59	0.19	0.5756	0.7754	-7.2516
60	0.31	0.2859	0.56	-6.7577
61	0.15	0.456	0.6919	-7.1066
62	0.08	0.7203	0.858	-7.3625
63	0.19	0.4385	0.6814	-7.0798
64	0.15	0.2278	0.5068	-6.569
65	0.37	0.2328	0.5114	-6.5874
66	0.09	0.4561	0.6919	-7.1067
67	0.23	0.2236	0.5016	-6.5532
68	0.25	0.132	0.3772	-6.0834
69	0.22	0.3729	0.6307	-6.964
70	0.09	0.4375	0.6814	-7.0783
71	0.22	0.3182	0.5908	-6.8429
72	0.29	0.2464	0.5252	-6.6354
73	0.15	0.3408	0.6063	-6.8962
74	0.1	0.667	0.8312	-7.3284
75	0.07	0.686	0.8418	-7.3414
76	0.11	0.643	0.8162	-7.3106
77	0.14	0.4673	0.7026	-7.123
78	-0.21	0.5933	0.7855	-7.2685
79	-0.55	0.3741	0.6313	-6.9663
80	-0.18	0.6995	0.8476	-7.3501
81	0.4	0.3007	0.5753	-6.7983
82	0.11	0.7119	0.852	-7.3576
83	-0.21	0.5844	0.7801	-7.2601
84	0.26	0.4898	0.72	-7.1537
85	-0.03	0.9567	0.9807	-7.4375
86	0.03	0.9427	0.973	-7.4362
87	-0.16	0.6599	0.8268	-7.3233
88	-0.19	0.667	0.8312	-7.3284
89	-0.89	0.0331	0.1621	-4.7304
90	-0.28	0.2761	0.5525	-6.7294
91	-0.37	0.3065	0.5788	-6.8134
92	-0.74	0.0394	0.1789	-4.9092
93	-1.16	0.0348	0.166	-4.7838
94	-0.45	0.1076	0.3288	-5.8924
95	-0.5	0.2265	0.5055	-6.5644
96	-0.35	0.339	0.605	-6.8922
97	-0.39	0.3697	0.6275	-6.9575
98	-0.29	0.5699	0.773	-7.2459
99	1.52	0.001	0.0191	-1.0551
100	2.26	0.0003	0.008	0.4741
101	0.57	0.0376	0.1736	-4.8621
102	1	0.1685	0.4303	-5.7328
103	-0.73	0.1757	0.4422	-6.3426
104	-0.37	0.4275	0.6732	-7.0623
105	-0.58	0.2211	0.4983	-6.5436
106	0.06	0.4496	0.6877	-7.0969
107	0.07	0.4691	0.7043	-7.1254
108	0.06	0.4765	0.711	-7.1358
109	0.03	0.706	0.8501	-7.354
110	0.07	0.4139	0.6625	-7.0395
111	-0.09	0.31	0.5817	-6.8225
112	0.16	0.1329	0.3784	-6.0893
113	0.06	0.5506	0.7582	-7.2259
114	0.07	0.422	0.6695	-7.0533
115	0.04	0.7269	0.8603	-7.3662
116	0.21	0.0865	0.2862	-5.684
117	0.01	0.9351	0.9693	-7.4353
118	0.07	0.4326	0.6773	-7.0706
119	0.04	0.6597	0.8268	-7.3231
120	-0.11	0.3345	0.6017	-6.8819
121	0.11	0.2074	0.4808	-6.4885
122	0.05	0.5238	0.7415	-7.1959
123	0.03	0.7884	0.8939	-7.3961
124	0.13	0.1996	0.4747	-6.4552
125	-0.14	0.2914	0.5656	-6.7732
126	0.04	0.6366	0.8132	-7.3056
127	0.18	0.1488	0.4043	-6.1929
128	0.1	0.3656	0.6264	-6.9493
129	0.09	0.4695	0.7045	-7.126
130	0.12	0.3265	0.5981	-6.8631
131	-0.02	0.8071	0.902	-7.4036
132	0.07	0.3851	0.6404	-6.9877
133	0.11	0.2828	0.5589	-6.7489
134	0.09	0.3526	0.6134	-6.922
135	0.23	0.0912	0.2949	-5.7346
136	-0.02	0.8544	0.9307	-7.4191
137	0.2	0.0873	0.2883	-5.693
138	0.17	0.1413	0.3924	-6.1456
139	-0.1	0.3389	0.605	-6.8918
140	0.17	0.2382	0.5166	-6.6069
141	0.1	0.3167	0.5887	-6.8391
142	0.17	0.1898	0.4605	-6.411
143	0.06	0.727	0.8603	-7.3663
144	-0.05	0.7065	0.8504	-7.3543
145	-0.13	0.2622	0.5395	-6.6871
146	0.12	0.1746	0.441	-6.3374
147	0.09	0.3512	0.6122	-6.9191
148	0.03	0.8498	0.928	-7.4178
149	0.2	0.0898	0.2916	-5.7199
150	0.02	0.8509	0.9283	-7.4181
151	-0.03	0.7237	0.8586	-7.3644
152	0.2	0.077	0.2665	-5.5715
153	0.24	0.0733	0.2586	-5.5237
154	0.12	0.2661	0.5407	-6.6992
155	0.33	0.0235	0.1305	-4.3831
156	0.06	0.6106	0.7975	-7.2839
157	0.05	0.7046	0.8487	-7.3532
158	0.17	0.3304	0.6008	-6.8722
159	0.18	0.1751	0.4414	-6.3396
160	0.13	0.3035	0.5765	-6.8056
161	0.16	0.1134	0.3423	-5.9414
162	0.2	0.0775	0.2671	-5.5775
163	0.15	0.2027	0.4773	-6.4685
164	-0.03	0.7924	0.8954	-7.3978
165	0.08	0.3691	0.6274	-6.9564
166	0.05	0.662	0.8273	-7.3248
167	-0.04	0.7145	0.8537	-7.3591
168	0.52	0.0786	0.2686	-5.5918
169	0.33	0.042	0.1844	-4.9726
170	0.41	0.0332	0.1624	-4.7357
171	0.41	0.012	0.0795	-3.6804
172	0.28	0.1153	0.3447	-5.9575
173	0	0.9951	0.9967	-7.4393
174	0.17	0.4943	0.7214	-7.1595
175	0.08	0.7654	0.8821	-7.386
176	0.39	0.3685	0.6274	-6.9552
177	0.01	0.977	0.9892	-7.4388
178	-0.1	0.7374	0.8667	-7.3719
179	0.36	0.3752	0.6314	-6.9685
180	0.12	0.621	0.8043	-7.2928
181	0.13	0.6032	0.7912	-7.2775
182	-0.08	0.8019	0.8998	-7.4016
183	-0.11	0.86	0.933	-7.4206
184	-0.15	0.81	0.9023	-7.4047
185	-0.02	0.9602	0.9824	-7.4378
186	-0.02	0.8025	0.8999	-7.4018
187	0.03	0.6962	0.8476	-7.348
188	-0.01	0.8772	0.9426	-7.425
189	0.07	0.4532	0.69	-7.1024
190	0.08	0.5178	0.7393	-7.1888
191	-0.04	0.652	0.8201	-7.3174
192	-0.07	0.5466	0.7541	-7.2216
193	-0.1	0.3104	0.5817	-6.8234
194	-0.05	0.6014	0.7908	-7.2758
195	0.08	0.4656	0.7015	-7.1206
196	0.07	0.4978	0.724	-7.1641
197	0.13	0.258	0.5355	-6.6739
198	0.03	0.7685	0.8833	-7.3874
199	0.13	0.2381	0.5166	-6.6067
200	0.1	0.2702	0.5462	-6.7117
201	0.04	0.6815	0.8376	-7.3384
202	-2.86	0.0028	0.0326	-2.1224
203	-2.66	0.0012	0.0206	-1.1975
204	-2.02	0.0003	0.0085	0.1792
205	-2.72	0.0007	0.0152	-0.6751
206	-1.33	0.0017	0.0254	-1.4106
207	-0.48	0.1115	0.3381	-5.9259
208	-1.45	0.0016	0.0241	-1.3144
209	-0.51	0.0676	0.2461	-5.4444
210	-0.36	0.1912	0.462	-6.4174
211	-0.38	0.2657	0.5407	-6.6981
212	-0.41	0.1259	0.3652	-6.0394
213	-3.53	0	0.0001	7.1976
214	-1.31	0.0001	0.0033	1.5638
215	-1.31	0.0044	0.0422	-2.6149
216	-1.14	0.003	0.0347	-2.2288
217	-0.95	0.0032	0.0356	-2.288
218	-0.56	0.1466	0.4023	-6.1794
219	-1	0.0107	0.0737	-3.5602
220	-1.6	0.0002	0.0068	0.5095
221	-1.04	0.0011	0.0197	-1.1109
222	-0.48	0.063	0.2376	-5.3763
223	0.05	0.748	0.872	-7.3774
224	-0.26	0.3531	0.6137	-6.9232
225	-0.24	0.701	0.8478	-7.351
226	-0.04	0.7941	0.8954	-7.3985
227	-0.46	0.1175	0.3502	-5.9751
228	0.03	0.9365	0.9694	-7.4355
229	-1.1	0.0366	0.1705	-4.8336
230	-1.02	0.0238	0.1318	-4.3967
231	-1.24	0.013	0.0841	-3.7696
232	0.33	0.1615	0.4214	-6.2672
233	-0.37	0.14	0.3916	-6.1371
234	-2.24	0.002	0.0273	-1.6046
235	-1.06	0.0056	0.0485	-2.8871
236	-1.36	0.0013	0.0215	-1.3142
237	0.02	0.9008	0.9516	-7.43
238	0.02	0.874	0.9417	-7.4242
239	0.05	0.7864	0.8927	-7.3953
240	-0.06	0.7224	0.8586	-7.3637
241	0.13	0.5637	0.7699	-7.2397
242	0.02	0.9491	0.9758	-7.4368
243	0.72	0.167	0.4292	-6.2971
244	0.63	0.227	0.5059	-6.5663
245	-0.15	0.5864	0.7808	-7.262
246	0.35	0.3662	0.6264	-6.9506
247	0.04	0.9326	0.9684	-7.435
248	-0.11	0.8123	0.9034	-7.4055
249	-0.53	0.1624	0.4227	-6.2723
250	0.23	0.2839	0.5589	-6.7521
251	0.23	0.3225	0.5952	-6.8535
252	-0.35	0.1873	0.4583	-6.3995
253	-0.57	0.1406	0.3922	-6.1411
254	-0.55	0.1903	0.4611	-6.4136
255	-0.29	0.5147	0.7361	-7.1851
256	-0.32	0.1588	0.4174	-6.252
257	-0.39	0.3745	0.6313	-6.9672
258	-0.59	0.1015	0.3168	-5.8368
259	-0.69	0.0807	0.273	-5.6168
260	-0.84	0.0161	0.0994	-3.9922
