"","FC","log2(FC)","p.ajusted","-log10(p)"
"701",34.742,5.1186,6.3586e-05,4.1966
"1447",0.18938,-2.4007,6.3586e-05,4.1966
"850",0.19292,-2.3739,6.3586e-05,4.1966
"3080",0.23237,-2.1055,9.066e-05,4.0426
"2031",20.59,4.3639,0.0013263,2.8774
"1287",0.13184,-2.9231,0.0013263,2.8774
"2570",0.17339,-2.5279,0.0013263,2.8774
"1883",3.755,1.9088,0.0013263,2.8774
"2001",12.684,3.665,0.0017381,2.7599
"1891",2.6382,1.3996,0.0020446,2.6894
"655",0.097689,-3.3557,0.0025607,2.5916
"2170",0.1109,-3.1727,0.0025607,2.5916
"2172",0.21896,-2.1912,0.0025607,2.5916
"849",0.23317,-2.1006,0.0025607,2.5916
"1902",0.081139,-3.6235,0.0043209,2.3644
"1890",3.3033,1.7239,0.0043209,2.3644
"859",0.088713,-3.4947,0.0049559,2.3049
"1903",0.12509,-2.999,0.0051028,2.2922
"2174",0.22338,-2.1625,0.0051028,2.2922
"558",12.82,3.6804,0.0052217,2.2822
"517",13.964,3.8036,0.0056466,2.2482
"2256",0.12687,-2.9786,0.0056573,2.2474
"2250",0.13542,-2.8845,0.0066027,2.1803
"1155",0.14362,-2.7997,0.0089454,2.0484
"923",2.6287,1.3944,0.0089454,2.0484
"4",0.023913,-5.386,0.010191,1.9918
"2030",20.452,4.3542,0.010191,1.9918
"2000",11.91,3.5741,0.010191,1.9918
"1610",3.1404,1.6509,0.010582,1.9754
"516",12.09,3.5957,0.011251,1.9488
"1885",6.7549,2.7559,0.011251,1.9488
"1887",3.0133,1.5913,0.011251,1.9488
"454",0.039995,-4.6441,0.011775,1.929
"920",2.8248,1.4982,0.012214,1.9131
"1376",0.15999,-2.644,0.012316,1.9095
"353",3.0631,1.615,0.012553,1.9012
"508",0.089515,-3.4817,0.015842,1.8002
"502",0.10207,-3.2924,0.016577,1.7805
"2675",2.6187,1.3889,0.016616,1.7795
"919",2.7299,1.4488,0.017695,1.7522
"2678",2.8597,1.5159,0.017719,1.7516
"2032",18.781,4.2312,0.017744,1.7509
"2180",0.066508,-3.9103,0.017744,1.7509
"2080",0.10524,-3.2483,0.017744,1.7509
