ID	log2fold	p	p.adj
ENSG00000163520	-0.83800434399782	2.60747171948195e-15	1.89367633627376e-11
ENSG00000169855	-1.26436771484199	2.10252161805512e-15	1.89367633627376e-11
ENSG00000112655	-0.699874667816207	5.35374329489447e-15	1.94407803395855e-11
ENSG00000146122	2.45672494824933	5.28973772826803e-15	1.94407803395855e-11
ENSG00000277586	1.02589214310966	1.28326820104752e-14	3.72789412404306e-11
ENSG00000157510	-1.40117408800663	3.62146022205311e-14	7.5145299607602e-11
ENSG00000182263	4.08932106420364	3.44928037747243e-14	7.5145299607602e-11
ENSG00000186529	1.58888375162203	7.888569858662e-14	1.43226846496332e-10
ENSG00000173868	1.71440472181389	1.02359951482581e-13	1.65197588364944e-10
ENSG00000091129	-1.16507756779682	1.46276433918423e-13	2.12466520266509e-10
ENSG00000176463	0.273323180507278	4.07082320941849e-13	5.37533701061851e-10
ENSG00000100985	1.58284951394516	4.49021183058426e-13	5.43502723660303e-10
ENSG00000257335	1.22266738148252	6.96121913888891e-13	7.77782369172011e-10
ENSG00000133138	0.617132541240885	1.59529594590926e-12	1.65511954388085e-09
ENSG00000147454	0.666195593480237	3.62853779294815e-12	3.51363409617146e-09
ENSG00000163464	1.62086141766861	4.18387481476593e-12	3.7981738552797e-09
ENSG00000079385	1.11341269974952	6.32130977402865e-12	5.40100143928036e-09
ENSG00000158966	-0.995501094872061	7.49392005506839e-12	6.04717715554824e-09
ENSG00000158828	0.307670030594327	7.99445140999777e-12	6.11154772264303e-09
ENSG00000179934	0.941115169598675	1.03907293479864e-11	7.5462671889751e-09
ENSG00000173535	1.33784638765096	1.62040921201702e-11	1.12078303831177e-08
ENSG00000134827	1.30541437494292	2.72745966395696e-11	1.58465406475899e-08
ENSG00000163297	0.291712993664834	2.57021110001795e-11	1.58465406475899e-08
ENSG00000170956	1.10402812914569	2.5008348347749e-11	1.58465406475899e-08
ENSG00000180871	1.46550776626072	2.65107092193152e-11	1.58465406475899e-08
ENSG00000111261	0.946912836994066	4.56968997121012e-11	2.55287487814719e-08
ENSG00000167676	1.58543125087916	5.2913869059674e-11	2.84657017811765e-08
ENSG00000102010	1.3677207862176	5.60844101676268e-11	2.90937877744564e-08
ENSG00000214456	1.11546283965971	6.2447158159266e-11	3.12774128366668e-08
ENSG00000163554	1.14776252913855	7.5357783965463e-11	3.56654781239006e-08
ENSG00000171236	1.17449369871692	7.61190927257087e-11	3.56654781239006e-08
ENSG00000008438	1.64915307946649	1.17660104536264e-10	5.17882732845224e-08
ENSG00000133048	1.51675677348348	1.16165351544484e-10	5.17882732845224e-08
ENSG00000073150	0.906468668002886	1.22800981917534e-10	5.24613018338878e-08
ENSG00000118113	1.85690714386511	1.27515686008152e-10	5.26636208109418e-08
ENSG00000167768	1.83783263385662	1.30526013713866e-10	5.26636208109418e-08
ENSG00000182885	1.13915116129514	1.76110145701404e-10	6.913513152197e-08
ENSG00000166669	-0.329401435259627	2.30135343379746e-10	8.79662069102845e-08
ENSG00000108244	1.27402572839237	2.61074856958911e-10	9.52588957827763e-08
ENSG00000110881	-0.851963242446331	2.62330866183205e-10	9.52588957827763e-08
ENSG00000180875	0.858318615257773	2.69155229781747e-10	9.53531637214605e-08
ENSG00000187017	1.02405731844291	2.88224271755147e-10	9.96775606486549e-08
ENSG00000180537	2.82728702762338	3.67678817966213e-10	1.24198484440913e-07
ENSG00000079393	1.81899083451933	6.91305954435982e-10	2.1952216532515e-07
ENSG00000130821	1.17473738246026	7.03832286466168e-10	2.1952216532515e-07
ENSG00000143797	0.55630144609866	7.20173213320348e-10	2.1952216532515e-07
ENSG00000162551	1.72698726666908	7.25443300213921e-10	2.1952216532515e-07
ENSG00000179869	1.72259095497412	6.70292873392053e-10	2.1952216532515e-07
ENSG00000101236	0.454538027374106	7.43304288426637e-10	2.20336628355039e-07
ENSG00000167434	1.57317099213274	8.57251594296092e-10	2.49031588143015e-07
ENSG00000064270	1.67916759150352	9.8544749669716e-10	2.80659311559338e-07
