Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)
LMJFC_020008500	LMJFC_020008500_t1	Leishmania major Friedlin 2021	OU755536:135,462..147,246(-)	ATP-binding cassette subfamily A - member 1 - putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_020008700	LMJFC_020008700_t1	Leishmania major Friedlin 2021	OU755536:149,785..152,806(-)	Soluble NSF attachment protein - SNAP - putative	LmxM.02.0310
LMJFC_020011600	LMJFC_020011600_t1	Leishmania major Friedlin 2021	OU755536:300,329..312,177(+)	hypothetical protein - conserved	LmxM.02.0580
LMJFC_030006100	LMJFC_030006100_t1	Leishmania major Friedlin 2021	OU755537:26,504..29,913(+)	hypothetical protein - conserved	LmxM.03.0110
LMJFC_030006200	LMJFC_030006200_t1	Leishmania major Friedlin 2021	OU755537:30,171..33,937(+)	Leucine Rich Repeat - putative	LmxM.03.0120
LMJFC_030007700	LMJFC_030007700_t1	Leishmania major Friedlin 2021	OU755537:65,411..74,770(+)	Apolipoprotein A1/A4/E domain containing protein - putative	LmxM.03.0270
LMJFC_030008100	LMJFC_030008100_t1	Leishmania major Friedlin 2021	OU755537:91,181..94,943(+)	hypothetical protein - conserved	LmxM.03.0320
LMJFC_030008400	LMJFC_030008400_t1	Leishmania major Friedlin 2021	OU755537:100,624..106,241(+)	protein kinase - putative	LmxM.03.0350
LMJFC_030008500	LMJFC_030008500_t1	Leishmania major Friedlin 2021	OU755537:106,722..117,188(+)	hypothetical protein - conserved	LmxM.03.0360
LMJFC_030009500	LMJFC_030009500_t1	Leishmania major Friedlin 2021	OU755537:152,683..161,847(+)	hypothetical protein - conserved	LmxM.03.0460
LMJFC_030009900	LMJFC_030009900_t1	Leishmania major Friedlin 2021	OU755537:173,631..177,728(+)	hypothetical protein - conserved	LmxM.03.0490
LMJFC_030010000	LMJFC_030010000_t1	Leishmania major Friedlin 2021	OU755537:178,010..181,906(+)	phosphate-Repressible Phosphate Permease-like protein	LmxM.03.0500
