Gene ID	source_id	Genomic Location (Gene)	Product Description	Score
LmxM.04.0310	LmxM.04.0310.1	LmxM.04:90,670..92,580(+)	beta-fructofuranosidase, putative	7.658
LmxM.04.0320	LmxM.04.0320.1	LmxM.04:94,378..95,577(+)	hypothetical protein	7.658
LmxM.05.0100	LmxM.05.0100.1	LmxM.05:28,707..30,620(+)	phosphoprotein phosphatase, putative	15.43
LmxM.05.0430	LmxM.05.0430.1	LmxM.05:147,299..149,329(+)	hypothetical protein, conserved	15.82
LmxM.08_29.0440	LmxM.08_29.0440.1	LmxM.08:1,004,378..1,005,520(+)	hypothetical protein, conserved	15.15
LmxM.09.0470	LmxM.09.0470.1	LmxM.09:173,985..175,943(+)	serine/threonine protein phosphatase, putative	15.43
LmxM.12.0050	LmxM.12.0050.1	LmxM.12:9,746..11,017(+)	hypothetical protein, conserved	14.34
LmxM.12.0660	LmxM.12.0660.1	LmxM.12:336,029..338,908(+)	ser/thr protein phosphatase, putative	14.63
LmxM.13.1510	LmxM.13.1510.1	LmxM.13:518,464..519,762(-)	phosphoprotein phosphatase, putative	14.24
LmxM.13.1570	LmxM.13.1570.1	LmxM.13:544,341..546,107(-)	phosphoprotein phosphatase-like protein	14.24
LmxM.15.0220	LmxM.15.0220.1	LmxM.15:86,033..87,157(-)	protein phosphatase 1 catalitic subunit, putative	15.04
LmxM.17.0580	LmxM.17.0580.1	LmxM.17:279,298..280,236(-)	bis(5'-nucleosyl)-tetraphosphatase, symmetrical-like protein	14.23
LmxM.17.0830	LmxM.17.0830.1	LmxM.17:394,576..396,453(-)	hypothetical protein, conserved	14.06
LmxM.18.0150	LmxM.18.0150.1	LmxM.18:45,873..47,282(-)	serine/threonine protein phosphatase type 5, putative	14.71
LmxM.18.1030	LmxM.18.1030.1	LmxM.18:417,653..419,980(+)	hypothetical protein, conserved	11.62
LmxM.20.0370	LmxM.20.0370.1	LmxM.20:2,775,408..2,779,049(+)	Metallo-dependent phosphatase-like domain-containing protein	12.84
LmxM.20.0375	LmxM.20.0375.1	LmxM.20:2,780,812..2,785,005(+)	Metallo-dependent phosphatase-like domain-containing protein	12.84
LmxM.21.1630	LmxM.21.1630.1	LmxM.21:676,824..677,351(-)	calcineurin B subunit, putative	57.13
LmxM.22.1490	LmxM.22.1490.1	LmxM.22:603,503..604,591(+)	Serine-threonin protein phosphatase, putative	15.15
LmxM.22.1600	LmxM.22.1600.1	LmxM.22:643,122..645,548(+)	ser/thr protein phosphatase, putative	15.64
LmxM.23.0870	LmxM.23.0870.1	1036_mexFOS1_13k16.p1kpIBF_14:3..1,577(-)	hypothetical protein	7.658
LmxM.23.0880	LmxM.23.0880.1	LmxM.23:421,944..423,076(-)	sucrose hydrolase-like protein	7.658
LmxM.23.0880a	LmxM.23.0880a.1	1036_mexFOS1_13k16.p1kpIBF_14:4,164..5,624(-)	hypothetical protein	7.658
