Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Genomic Location (Transcript)	Genomic Sequence ID	Chromosome
LmjF.36.6430	LmjF.36.6430:mRNA	Leishmania major strain Friedlin	LmjF.36:2,490,349..2,492,901(-)	protein transport protein Sec23-like protein	LmjF.36:2490349..2492901(-)	LmjF.36	36
LmxM.10.0310	LmxM.10.0310.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.10:123,592..126,006(+)	protein transport protein SEC23, putative	LmxM.10:123592..126006(+)	LmxM.10	10
LmxM.36.6430	LmxM.36.6430.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:2,455,205..2,457,745(-)	protein transport protein Sec23-like protein	LmxM.20:2455205..2457745(-)	LmxM.20	20
LmjF.10.0310	LmjF.10.0310:mRNA	Leishmania major strain Friedlin	LmjF.10:139,261..142,368(+)	protein transport protein SEC23, putative	LmjF.10:139261..142368(+)	LmjF.10	10
LmjF.15.1310	LmjF.15.1310:mRNA	Leishmania major strain Friedlin	LmjF.15:545,729..548,224(-)	MGT1 magnesium transporter	LmjF.15:545729..548224(-)	LmjF.15	15
LmxM.15.1310	LmxM.15.1310.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.15:485,886..488,333(-)	cation transporter, putative	LmxM.15:485886..488333(-)	LmxM.15	15
LmjF.25.1015	LmjF.25.1015:mRNA	Leishmania major strain Friedlin	LmjF.25:393,784..393,993(+)	protein transport protein Sec61 gamma subunit, putative	LmjF.25:393784..393993(+)	LmjF.25	25
LmxM.25.1015	LmxM.25.1015.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.25:382,349..382,558(+)	protein transport protein Sec61 gamma subunit, putative	LmxM.25:382349..382558(+)	LmxM.25	25
LmxM.11.1050	LmxM.11.1050.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.11:422,922..424,382(+)	protein transport protein SEC61 subunit alpha, putative	LmxM.11:422922..424382(+)	LmxM.11	11
LmjF.11.1050	LmjF.11.1050:mRNA	Leishmania major strain Friedlin	LmjF.11:442,810..444,270(+)	protein transport protein SEC61 subunit alpha, putative	LmjF.11:442810..444270(+)	LmjF.11	11
LmjF.19.0320	LmjF.19.0320:mRNA	Leishmania major strain Friedlin	LmjF.19:115,945..117,963(+)	intraflagellar transport protein 52	LmjF.19:115945..117963(+)	LmjF.19	19
LmxM.19.0320	LmxM.19.0320.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.19:120,101..122,119(+)	intraflagellar transport protein 52	LmxM.19:120101..122119(+)	LmxM.19	19
LmjF.09.1140	LmjF.09.1140:mRNA	Leishmania major strain Friedlin	LmjF.09:450,652..451,179(-)	hypothetical protein, conserved	LmjF.09:450652..451179(-)	LmjF.09	9
LmjF.34.0230	LmjF.34.0230:mRNA	Leishmania major strain Friedlin	LmjF.34:80,025..82,184(+)	intraflagellar transport protein 81, putative	LmjF.34:80025..82184(+)	LmjF.34	34
LmjF.32.3210	LmjF.32.3210:mRNA	Leishmania major strain Friedlin	LmjF.32:1,265,388..1,266,044(+)	Miro-like protein, putative	LmjF.32:1265388..1266044(+)	LmjF.32	32
LmxM.31.3210	LmxM.31.3210.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.31:1,255,042..1,255,698(+)	Miro-like protein, putative	LmxM.31:1255042..1255698(+)	LmxM.31	31
LmxM.28.0650	LmxM.28.0650.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.28:235,866..236,945(-)	protein transport protein SEC13, putative	LmxM.28:235866..236945(-)	LmxM.28	28
LmjF.32.0050	LmjF.32.0050:mRNA	Leishmania major strain Friedlin	LmjF.32:18,267..19,310(-)	protein transport protein SEC13	LmjF.32:18267..19310(-)	LmjF.32	32
LmxM.31.0050	LmxM.31.0050.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.31:17,980..18,981(-)	protein transport protein SEC13	LmxM.31:17980..18981(-)	LmxM.31	31
